"Name","State","Notes","User","Tags","Created","Runtime","Sweep","d_units","in_channels","output_size","projected","rp_gen_algorithm","epoch","train_acc","train_loss","train_time_step","trainer/global_step","val_acc","val_loss","val_time_step"
"CNN_Full_61.7k","finished","-","adrianrob","n_params_tuning","2022-11-08T07:13:13.000Z","440","","[50,100,400,100,50]","1","10","false","gaussian","14","1","0.00005883583435206674","1.0424000024795532","11249","0.9888333082199096","0.04857216030359268","1.199047565460205"
"CNN_Proj_700","finished","-","adrianrob","n_params_tuning","2022-11-07T22:39:28.000Z","946","","[50,100,400,100,50]","1","10","true","gaussian","34","0.96875","0.14080841839313507","1.0987520217895508","26249","0.968583345413208","0.1080923154950142","1.2838577032089231"
"CNN_Proj_750","finished","-","adrianrob","n_params_tuning","2022-11-08T07:21:29.000Z","1048","","[50,100,400,150,50]","1","10","true","gaussian","35","0.984375","0.04582115262746811","1.1182080507278442","26999","0.968583345413208","0.10941887646913528","1.7166523933410645"
"CNN_Proj_600","finished","-","adrianrob","n_params_tuning","2022-11-07T22:18:43.000Z","1200","","[50,100,300,100,50]","1","10","true","gaussian","43","0.96875","0.11217701435089111","1.2313599586486816","32999","0.9652500152587892","0.12367013841867448","1.5090283155441284"
"CNN_Proj_450","finished","-","adrianrob","n_params_tuning","2022-11-08T07:39:27.000Z","1364","","[25,50,300,50,25]","1","10","true","gaussian","47","0.921875","0.1789698451757431","1.0690879821777344","35999","0.9522500038146972","0.15818627178668976","1.6643108129501345"
"CNN_Proj_350","finished","-","adrianrob","n_params_tuning","2022-11-08T08:04:49.000Z","1120","","[25,50,200,50,25]","1","10","true","gaussian","38","0.90625","0.3665713965892792","1.3696320056915283","29249","0.928416669368744","0.23232370615005493","1.6045610904693604"
"CNN_Proj_250","finished","-","adrianrob","n_params_tuning","2022-11-08T08:27:02.000Z","658","","[25,50,100,50,25]","1","10","true","gaussian","22","0.875","0.38606512546539307","1.0919040441513062","17249","0.912916660308838","0.2878369688987732","1.4880647659301758"
"CNN_Proj_150","finished","-","adrianrob","n_params_tuning, test_d_tuning","2022-11-08T11:58:38.000Z","1044","","[50,25,25,25,25]","1","10","true","gaussian","37","0.9375","0.26544684171676636","1.007040023803711","28499","0.8765833377838135","0.41124194860458374","1.2806463241577148"
"CNN_Proj_150","finished","-","adrianrob","test_d_tuning","2022-11-08T11:46:32.000Z","580","","[25,25,50,25,25]","1","10","true","gaussian","20","0.921875","0.28578487038612366","1.2292799949645996","15749","0.8673333525657654","0.4264296591281891","1.3280434608459473"
"CNN_Proj_150","finished","-","adrianrob","test_d_tuning","2022-11-08T12:56:04.000Z","785","","[65,25,25,25,10]","1","10","true","gaussian","28","0.84375","0.3807404935359955","1.2062400579452517","21749","0.8650000095367432","0.44141069054603577","1.2784022092819214"
"CNN_Proj_150","finished","-","adrianrob","test_d_tuning","2022-11-08T08:42:56.000Z","581","","[12,25,75,25,13]","1","10","true","gaussian","19","0.84375","0.6701629161834717","1.4443199634552002","14999","0.8634999990463257","0.4561673104763031","1.5113195180892944"
"CNN_Proj_125","finished","-","adrianrob","n_params_tuning","2022-11-08T08:53:36.000Z","549","","[25,25,25,25,25]","1","10","true","gaussian","18","0.859375","0.6524069309234619","1.367583990097046","14249","0.8546666502952576","0.4779513478279114","1.444931983947754"
"CNN_Proj_150","finished","-","adrianrob","test_d_tuning","2022-11-08T12:20:58.000Z","1560","","[50,40,25,25,10]","1","10","true","gaussian","57","0.828125","0.5596961975097656","1.4407039880752563","43499","0.8544166684150696","0.4715423882007599","1.2914119958877563"
"CNN_Proj_150","finished","-","adrianrob","n_params_tuning","2022-11-08T13:25:21.000Z","702","","[80,25,25,10,10]","1","10","true","gaussian","25","0.9375","0.4113580584526062","1.248128056526184","19499","0.8149999976158142","0.5850834846496582","1.2112551927566528"
